user_question_title,user_question_body
Classifier article download,"<p></p><p style=""text-align:left"">Hello,</p>
<p style=""text-align:left""></p>
<p style=""text-align:left"">I am having trouble just simply running: </p>
<p style=""text-align:left""></p>
<pre><code>python classifier_template.py articles <br /><br /></code></pre>
<p>When I run it in my terminal, it comes up with </p>
<p></p>
<pre><tt>python: can&#39;t open file &#39;classifier_template.py&#39;: [Errno 2] No such file or directory</tt></pre>
<p>Thank you for your help!</p>
<p></p>
<p></p>"
Crowdflower HIT not too bad WEIRD OUTPUT,"<p>So I put this code in crowdflower and got this output:<br /><br /><br /></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/h6wzwxt8ffe525/imcpivggt785/Screen_Shot_20160328_at_8.50.08_PM.png"" /></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/h6wzwxt8ffe525/imcpjptft78i/Screen_Shot_20160328_at_8.50.55_PM.png"" /></p>
<p>HELP! It is posting five copies of the same question but with 5 different articles and data inputs, not sure why.</p>"
Sharing amazon accounts,"<p>I&#39;m trying to share an amazon account with another classmate, but I want to make sure that I&#39;m only sharing my MTurk account and not others parts of my amazon account (e.g. Amazon Prime). Whats the best way to resolve this conflict?</p>"
How do I make it display text after they accept job?,"<p>So you know how you can view the job and THEN decide to accept or refuse the job? ( I am currently using crowdflower to post this task)</p>
<p></p>
<p>I am somewhat worried that if I just do something like this, where &#34;hidden text here&#34; is shown only after 5 seconds,</p>
<p></p>
<pre>&lt;p id=&#34;showtext&#34; style=&#34;display: block;&#34;&gt;&lt;strong&gt;hidden text here&lt;/strong&gt;&lt;/p&gt;

&lt;script type=&#34;text/javascript&#34;&gt; setTimeout(function(){     document.getElementById(&#39;showtext&#39;).style.display = &#39;block&#39;; },5 * 1000); &lt;/script&gt;</pre>
<p>then it will show this text during the preview of the job (before they accept). How can I control it so that the JS function only runs after they accept the job?</p>
<p></p>"
Extra Office Hours,"<p>Hey everyone,</p>
<p></p>
<p>I&#39;ll be holding extra office hours from 3 - 4 PM today (right after class) to help people debug any VM or Python related issues or the issues with the HW.</p>
<p></p>"
HW 3 Assignment Grade,"<p>Had a quick question regarding my HW assignment grade. We submitted the assignment again (the coding part not the questionnaire) on the next day after the due date after the post regarding the extension. The new version had the corrected code for finding misclassified examples and therefore I was wondering why I still lost those points.</p>
<p></p>
<p>Thanks!</p>
<p></p>
<p>PS - I also sent and email to the nets213 google group but it supposedly bounced back. </p>"
extract_text.py - how should the text look?,"<p>I think I did the extract_text portion correctly, but I have a couple questions just to be sure, because the output is a little strange: </p>
<p></p>
<p>1) 5 of the 100 links gave Errors and were not outputted, so my text file only has 95 urls. Is that fine? </p>
<p></p>
<p>2) Should the text portions be surrounded by &lt;p&gt; &lt;/p&gt; tags? All of them are, which I assume is what we want, but some text does not look useful at all (e.g., the text for &#34;http://segazine.com/police-say-shooting-near-city-market-injured-5-not-3/&#34; is simply &lt;p&gt;Savannah&lt;/p&gt;)</p>
<p></p>
<p>Any clarification would help - thanks!</p>"
Printing Date bing_api.py,"<p>Hi,</p>
<p></p>
<p>When I try to print the date to the txt file, naturally it gives me an ascii character decoding error. I&#39;m assuming this is happening because it is not recognizing the format of the data field and is unable to print it in to the txt file. Is there a way for me to translate the data to the appropriate format?</p>
<p></p>
<p>Thank you for your help!</p>
<p></p>
<p>Edit: So you can see the error</p>
<p></p>
<pre>Traceback (most recent call last):<br />File &#34;bing_api.py&#34;, line 48, in &lt;module&gt;<br />get_urls(&#34;shooting&#34;)<br />File &#34;bing_api.py&#34;, line 42, in get_urls<br />print item.text<br />UnicodeEncodeError: &#39;ascii&#39; codec can&#39;t encode characters in position 5-7: ordinal not in range(128)</pre>
<p></p>"
Peer Review,"<p>I never got the email with the peer review assignment part two</p>
<p>can someone send it to me </p>
<p>brodylan&#64;sas.upenn.edu</p>"
Switching Project Ideas,"<p>Can we switch to a new final project idea? Though the peer reviews we received made it seem possible, we don&#39;t think we can fully implement the three ideas we chose and we don&#39;t think the ideas were that exciting. Our new idea that we&#39;re excited about is to let designers submit multiple versions of a design and have the crowd give them feedback on which one is &#39;better&#39;. All of us have encountered this issue in the past and we think this would be a great solution. We also are excited about the word cloud aspect, where we provide the most common words in the comments that are <span style=""text-decoration:underline"">not</span> basic english words (the, it, a, is, etc.). Here&#39;s the flowchart:</p>
<p><br /><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hwjtf4eayda2xx/imjnm7shajrb/Untitled_Diagram_1.png"" /></p>"
Not able to ssh into biglab,<p>I&#39;m getting an output that says &#34;ssh_exchange_identification: read: Operation timed out&#34;  What does this mean?</p>
OH now,"<p>Hi all, </p>
<p></p>
<p>I&#39;m holding my make-up office hours now until 11:50am in the Moore 100 booths. Feel free to swing by. </p>
<p></p>
<p>Best,</p>
<p>Kate</p>"
please sign up for a CrowdFlower account,"<p>If you would like ~$100 of free Credit on CrowdFlower, please sign up for a CrowdFlower Customer (aka Requester) now.  You may have already completed this step as part of HW1.  If not, then please sign up here: https://make.crowdflower.com/users/new</p>
<div></div>
<div>Once that is done, please fill out this Google form before class on Wednesday: </div>
<div>https://docs.google.com/forms/d/1shp2S5Jl3r5bEx6hT_as8xQJZ5piiy2KRIEYQS_8U74/viewform</div>
<div></div>
<div>If you do not submit the Google form before Wednesday at 2pm, then you will not receive the free credit from CrowdFlower, and you will have to fund your account with your own money.</div>
<div></div>
<div>—Chris</div>
<div></div>
<div><br /></div>"
Query with Operators,"<p>I want to do queries with operators, which do work in the user interface that we used in Part 1, Step 2.</p>
<p>e.g: get_urls(&#39;gun shooting shot -basketball -&#34;photo shoot&#34; -&#34;shooting range&#34; -&#34;water gun&#34; -&#34;toy gun&#34; -vaccine&#39;)</p>
<p></p>
<p>However, when I run this, I get a HTTP Error 400: Bad Request. </p>
<p></p>
<p>If I replace &#34; &#34;&#39;s with &#34;%&#34;s, and remove all of the &#34;-&#34;&#39;s, then it works (I think...I get results at least).</p>
<p></p>
<p>However, when I replace the &#34; &#34;&#39;s with &#34;%&#34;s, and leave the &#34;-&#34;s, I don&#39;t get any results (and this query does work in <a href=""https://datamarket.azure.com/dataset/explore/bing/search"">https://datamarket.azure.com/dataset/explore/bing/search</a>)</p>
<p></p>
<p>Do you have any suggestions on how to do a multi-term operator query?</p>
<p></p>
<p>Thanks!</p>"
Introduce Piazza to your students,"<script type=""text/javascript"">PA.load(""/dashboard/introduce_piazza"", null, function(data){ $('#' + 'questionText').html(data);});</script>"
HW Grades,<p>Will we ever know about our homework grades?</p>
Screenshots,<p>What should be in the screenshots? Like should we be taking enough screenshots so that you can see every field/input box in the entire hit?</p>
Will the instructions change for HW4?,"<p></p><div>Looking at HW4: <a href=""http://crowdsourcing-class.org/assignment4.html"">http://crowdsourcing-class.org/assignment4.html</a></div>
<div></div>
<div>&#34;Warning: this assignment is out of date. It may still need to be updated for this year&#39;s class. Check with your instructor before you start working on this assignment.&#34; </div>
<div></div>
<div>Is it too early to get started on this? Or will the instructions be the same this year?</div>"
Fun Crowdsourcing on a Snowday,"<p>I saw this on my Facebook feed, and thought it was a cool/creative crowdsourcing example. He modifies the list whenever somebody comments on the post, adding a new thing that is open despite the snow.</p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hwl8na21jzh4qr/ijriofurh3wk/Screen_Shot_20160123_at_2.33.56_PM.png"" /></p>"
Video of Crowd Research Workers-Requesters Panel,"<p>Michael Bernstein hosted a panel discussion last night that is very related to today&#39;s lecture.  Michael is a professor at Stanford University who does research on crowdsourcing.  He and his team are trying to design a new platform for micro-tasking-style crowd work that is more fair to workers.  The panel consisted of several requesters (including me) and several workers. Here&#39;s a <a href=""https://www.youtube.com/watch?v=j9D0-u9Ndwc"" target=""_blank"">YouTube video of the hour-long panel discussion</a>.</p>"
Differences between Majority and Crowdflower Data,"<p>For some reason, my majority data and crowdflower data do not match up in terms of line numbers.<br /><br />More specifically, my &#39;majority_data.txt&#39; has 149 urls and &#39;crowdflower_data.txt&#39; has 157 urls. I think that this because the crowd_flower data includes some repetition (see below): </p>
<p></p>
<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/idrrpw2rg0i1b1/ilv4eftdloof/Capture.PNG"" width=""493"" height=""140"" /></p>
<p><br />Also along the same lines, for some reason my &#39;majority_workers.txt&#39; has 47 workers and &#39;crowdflower_data.txt&#39; has 60. I used the full csv for my majority script, which I don&#39;t think included data from workers that failed to meet the gold standard. I think this is the reason for the differences, but I am not sure.<br /><br />Can I still get full credit despite the slight differences in workers and urls numbers?<br /><br /></p>"
Khan Academy,<p>I was looking at the list of companies and I couldn&#39;t find anything that I liked. So I was wondering if I could do my next project on Khan Academy ?? </p>
source command,"<p>What is the windows equivalent of &#34;<code>cd ~/</code> <code>source nets213/bin/activate&#34;?</code></p>
<p></p>
<p>The source command returns the usual error that it&#39;s not recognized as an internal or external command, etc. I have pip and python under my %PATH% environment variable, so I&#39;m not sure what to do at this point.</p>
<p></p>
<p></p>"
More crowdsourcing in the news!,"<p>Another good New York Times article about crowdsourcing. tldr: companies like uber, lyft, postmates, and instacart have trouble retaining their workers, and that hurts their bottom line.</p>
<p></p>
<p><a href=""http://www.nytimes.com/2016/02/12/technology/delivery-start-ups-face-road-bumps-in-quest-to-capture-untapped-market.html?_r=0"" target=""_blank"">http://www.nytimes.com/2016/02/12/technology/delivery-start-ups-face-road-bumps-in-quest-to-capture-untapped-market.html?_r=0</a></p>
<p></p>
<p>There have been a few articles along this line in the past week or two. We&#39;ve talked a lot about how companies can be exploitative of crowdworkers, but it is good to keep in mind how these &#34;middle man&#34; apps give workers a lot of freedom and mobility, and hence a lot of power! Maybe we&#39;ll start seeing companies offer a bit more in terms of benefits in order to retain their workers...?</p>
<p></p>
<p></p>"
Error testing classifier_template,"<p></p><p>$ python classifier_template.py articles</p>
<p>Traceback (most recent call last):</p>
<p>  File &#34;classifier_template.py&#34;, line 8, in &lt;module&gt;</p>
<p>    from sklearn.tree import export_graphviz</p>
<p>ImportError: No module named sklearn.tree</p>
<p></p>
<p>Any help on what this means? </p>"
crowdflower csvs,should we submit the csvs as well?
"Crazy numbers for estimating time spent for 1,000,000 articles","<p>I was just wondering if we should be getting some crazy numbers for the time to annotate 1 million articles. Like for the open-ended hit, it took 8 hours to get all 100 results. Meaning that for 1m articles, it would 80,000 hours. Is that okay, or am I doing the wrong math?</p>"
Alchemy Academic Account,"<p>Hello! I&#39;d like to sign up for the Alchemy Academic Account. It said to email you, but I&#39;m not sure who &#34;you&#34; is lol</p>"
Error from get_clean_text.py,"<p></p><p>We keep getting the following error when we run get_clean_text.py. On StackOverflow, it&#39;s recommended that this is a network connectivity issue, but after running the code several times with pretty solid (?) internet connection, it isn&#39;t being resolved – any thoughts on how to fix this?</p>
<p></p>
<p>Traceback (most recent call last):</p>
<p>  File &#34;get_clean_text.py&#34;, line 30, in &lt;module&gt;</p>
<p>    txt = get_text(url)</p>
<p>  File &#34;get_clean_text.py&#34;, line 19, in get_text</p>
<p>    soup = BeautifulSoup(urllib2.urlopen(url).read(), &#39;html.parser&#39;)</p>
<p>  File &#34;/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/urllib2.py&#34;, line 154, in urlopen</p>
<p>    return opener.open(url, data, timeout)</p>
<p>  File &#34;/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/urllib2.py&#34;, line 431, in open</p>
<p>    response = self._open(req, data)</p>
<p>  File &#34;/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/urllib2.py&#34;, line 449, in _open</p>
<p>    &#39;_open&#39;, req)</p>
<p>  File &#34;/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/urllib2.py&#34;, line 409, in _call_chain</p>
<p>    result = func(*args)</p>
<p>  File &#34;/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/urllib2.py&#34;, line 1227, in http_open</p>
<p>    return self.do_open(httplib.HTTPConnection, req)</p>
<p>  File &#34;/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/urllib2.py&#34;, line 1197, in do_open</p>
<p>    raise URLError(err)</p>
<p>urllib2.URLError: &lt;urlopen error [Errno 8] nodename nor servname provided, or not known&gt;</p>"
HW7: Calculating Weighted-Majority Votes,"<p>Can someone clarify how we are calculating the weighted-majority votes and labels? What are we comparing each worker&#39;s labels against, the majority label? </p>"
updated data for EM part of the HW,"<p>Hi Everyone,</p>
<p></p>
<p>We accidentally released the wrong em_toy_data.txt file for the EM part of the assignment. The original one released was identical to the lecture slides. We are posting a new one momentarily. I will let you know when it is up (in a few minutes).</p>
<p></p>
<p><strong>Please discard the old data file</strong>. So sorry for the inconvenience! </p>
<p></p>
<p>Ellie</p>"
CrowdFlower credits,"FYI, CrowdFlower has applied a $50 credit to each of your accounts.  Thank you to CrowdFlower for its generosity in donating over $6,000 to the course!<div><br /></div><div>You should spend part of your credit on the current homework assignment. You may want to reserve part of it for future HWs and for your final project. <div><br /></div><div>You should each expect to spend ~$50-$100 of your own funds towards the final project. If that will put a big financial hardship on anyone, please contact me privately. </div></div><div><br /></div><div>CCB</div>"
scipy.stats.kendalltau returing nan as results,"<p>Hi,</p>
<p></p>
<p>I&#39;m having trouble with scipy.stats.kendalltau function here.</p>
<p>It does return valid float values when I compare majority vote result and crowdflower result.</p>
<p>However, whenever weighted vote result is involved, it returns nan for both tau and p-value.</p>
<p></p>
<p>My weighted vote result for worker quality is actually 1.0 for all the workers. This seemed to cause nan return value since as soon as I modify one of the values to be non-1.0, the function returns float values.</p>
<p></p>
<p>Could I answer as nan for the questionnaire in this case?</p>
<p></p>
<p>Thanks</p>"
Homework 2 Report Question,"<p></p><div>In my score report for the market research questionnaire (homework 2), it says I received -1 for &#34;saying that Uber was a completely new business model. It updates the taxi business model.&#34;  </div>
<div> </div>
<div>By new business model, I wasn&#39;t referring to the already established model of drivers picking up riders; rather, I meant that Uber is a new business model in the way that it connects drivers and riders through a mobile app, and then takes a percentage of the profit.  Please let me know your thoughts on this.
<div> </div>
<div>Thanks,</div>
<div>Nick Wein 
<div></div>
</div>
</div>"
ZeroDivisionError in kappa.py,"<p></p><pre>Traceback (most recent call last):
  File &#34;kappa.py&#34;, line 29, in &lt;module&gt;
    k = (Pa - Pe) / (1 - Pe)
ZeroDivisionError: float division by zero</pre>
<p>I&#39;m getting this because our Pe ends up being exactly 1 since in both files, all our urls end up being labeled as Gun-Related and none are Non-Gun-Related... Should this not be happening?</p>"
Crowd Workers vs. MTurk,"<p>I think I misunderstood the assignment at first and completed 54 tasks on MTurk (3 had been rejected) after my account was approved. Was I supposed to have completed at least 25 through Crowd Workers</p>
<p></p>
<p>Thanks!</p>"
Submit your company profile video,"<p>Please submit a link to your company profile video <a href=""https://docs.google.com/forms/d/1y2ObY-Vvgc-_3r8HG8SyTIP5ofA35xxZcwNl1RJf4nc/viewform"">using this questionnaire</a> before class on Friday.  The link includes a questionnaire like usual.</p>"
Slides for Machine Learning lecture,"<p>Here are the slides from today&#39;s lecture: <a href=""http://crowdsourcing-class.org/slides/machine-learning.pdf"">Machine Learning part 1</a>.</p>
<p></p>
<p>There are a nice set of Oreilly videos by Hilary Mason on <a href=""http://shop.oreilly.com/product/0636920017493.do"" target=""_blank"">Machine Learning in Python</a>.  If anyone can figure out if we can watch them for free via the Penn Library, please post instructions here.</p>
<p></p>
<p>As always, please use this thread for any questions or discussion topics relating to today&#39;s lecture. </p>"
update to survey,"<p>Hey,</p>
<p></p>
<p>I just submitted my survey (pennkey: jieguo partner: aashishlalani) and realized that I inputted in the wrong values for &#34;Worker qualities after iteration 2&#34;. Should I resubmit the survey again?</p>
<p></p>
<p>The updated values for &#34;Worker qualities after iteration 2&#34; is:</p>
<p>.4 .8 1 1 0 </p>
<p></p>
<p>Thank you</p>"
Python bootcamp tomorrow,"<p>Hi Everyone!</p>
<p></p>
<p>Tomorrow in class we will be having our Python bootcamp. <a href=""http://crowdsourcing-class.org/assignment3.html"" target=""_blank"">The assignment</a> will be due in class, and will count as 1 point of your participation grade. It is very important that everyone gets up to speed with python, since the remaining assignments will assume you are competent with the basics.</p>
<p></p>
<p>Please <strong>bring your laptop to class, with iPython installed</strong> and ready to go. We will have an optional secondary assignment on bash scripting, so if you are already a Python pro, please still show up with your laptop and plan to write code in class.</p>
<p></p>
<p>See you all tomorrow!</p>
<p>Ellie</p>"
Python bootcamp grade,"<p>Could I found out my python bootcamp grade? I haven&#39;t received it yet, and the previous homework results skipped over it</p>"
Ensuring that Crowdflower workers are paid,"<p>While creating the jobs, I added funds from the $50 given. Do we need to accept the work of the workers to pay them? Or does CrowdFlower do it automatically?</p>
<p>I just want to ensure that my workers are paid</p>"
Need help with the Python bootcamp?,"<p>If you need help with today&#39;s activity, my office hours are today from 3-5pm in Levine 506.</p>
<p>Ross takes over at 5pm on the 5th floor of Levine, in the public space near the elevator.</p>
<p></p>
<p>The assignment will be due Friday before class.</p>"
Classification for Gun Violence Related Articles,"<p>Should articles related to gun violence, but not describing a particular incident of gun violence, be labelled as related or not?</p>
<p>For example</p>
<ul><li>Gun control legislation (<a href=""http://abcnews.go.com/ABC_Univision/Politics/chicagos-gun-violence-role-national-gun-debate/story?id=18365373"">http://abcnews.go.com/ABC_Univision/Politics/chicagos-gun-violence-role-national-gun-debate/story?id=18365373</a>)</li><li>Statistics on gun violence (<a href=""http://www.nbcnews.com/health/terrible-tally-500-children-dead-gunshots-every-year-7-500-8C11469222"">http://www.nbcnews.com/health/terrible-tally-500-children-dead-gunshots-every-year-7-500-8C11469222</a>)</li><li>Article that refers to another incident of gun violence (<a href=""http://www.kjct8.com/content/news/CIRT-team-called-in-to-investigate-the-officer-involved-shooting--368258921.html"">http://www.kjct8.com/content/news/CIRT-team-called-in-to-investigate-the-officer-involved-shooting--368258921.html</a>)</li></ul>
<p></p>
<p>I have classified these as not related, and am using it as a test question on CrowdFlower, but is causing me problems as many &#34;miss&#34; this question.</p>"
Apple ResearchKit for HW2,"<p>For HW2, my partner and I are profiling ResearchKit. I just want to make sure that we should be answering all the questions assuming ResearchKit is the &#34;company&#34; correct?</p>
<p></p>
<p>For example, &#34;Give a one sentence description of the company. Be sure to use the name of the company in your sentence.&#34; We should describe ResearchKit in one sentence, not Apple – right?</p>"
Rule Based Classifier,"<p>For part 3/4, is there supposed to be a required classifier rating that we are supposed to reach (i.e.0.93)? Also, how many keyword conditional would be enough? I find that having too much brings my rating down.</p>"
Bing API Crawl Doesn&#39;t Match Example,"<p>In the example on the homework instructions, it shows that bing_api.py should end up with 140 unique urls. However, after running mine, I only end up with 139. Is this a problem, or is this normal?</p>
<p></p>
<p>Thanks!<img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hwl8na21jzh4qr/ikhaejdf1wn9/Screen_Shot_20160210_at_3.25.18_PM.png"" /></p>"
Kendall’s tau,"<p>In computing Kendall&#39;s tau function, are we taking in two lists of worker quality from two of the three data sets and compare? Does the worker quality in the two lists need to be sorted? In other words, if in data set 1, worker 1&#39;s quality is 0.9 and worker 2&#39;s quality is 0.8. And in another data set, worker 1&#39;s quality is 0.95 and worker 2&#39;s quality is 0.85, do we have to compare [0.9, 0.8] with [0.95, 0.85] or can we compare [0.9, 0.8] with [0.85, 0.95]?</p>"
Format for Questionnaire,"<p>For EM worker qualities, how should we format the values?</p>
<p>Each worker has 4 possible values, should we just list it like this?</p>
<p></p>
<p>Truth/Guess:   Porn/Not Porn 50%   Porn/Porn 50% ...etc?</p>"
No one is doing my tasks,"I posted my tasks yesterday afternoon and have gotten no complete responses. I&#39;m not sure why this is. I&#39;ve gotten several contested test questions, but the first couple seemed to be correct. I&#39;m also paying 15 cents per article, which I thought was fair. Not sure what to do about this. "
Forming teams for the final project,"<p>Hey guys!</p>
<p></p>
<p>If you&#39;re looking for a team and need somewhere to put your idea or background out there : add follow ups to the post below. You can also use the team finding post &#64;5</p>
<p></p>
<p>Good luck!</p>
<p></p>"
Homework 3 Grade,"<p>Hi,</p>
<p></p>
<p>I worked with Alex Sands on assignment 3, and we just received our grade. We lost a point because: &#34;-1 Didn&#39;t correctly identify a misclassified article.&#34; We type all of our answers to the questions in a separate Google Doc, so we have the text of the article that was misclassified. It is below:</p>
<p></p>
<p>&#34;Woodrow Wilson Elementary recently announced the Students of the Month for September. Pictured are (from left): front row Fernanda Morales, Lexie King, Nelson McHaney, Dylan Florczyk, Nicolas Garcia, Nancy Brandon; back row Abbey Nicley, Zander Voss, Nate Brittingham and Issac Bearden 5 Be Proactive. Use the &#39;Report&#39; link on each comment to let us know of abusive posts. We&#39;re always interested in hearing about news in our community. Let us know what&#39;s going on!&#34;</p>
<p></p>
<p>We must have submitted this in the form because it is a required question. I was hoping to get some feedback on why we missed this point. As far as I can tell, this article seems to be misclassified, so we are uncertain on why we missed this point. We would appreciate any feedback!</p>
<p></p>
<p>Thanks,</p>
<p>Gagan and Alex</p>"
A bit frustrated...,"<p>Hi, I didn&#39;t want to post this publicly but I&#39;m honestly a bit frustrated about this homework assignment since my partner and I have worked over 10 hours on it at this point just figuring out random python errors that have been happening and haven&#39;t even gotten to the crowdsourcing portion of the assignment. The majority of the time we&#39;ve spent have been either fixing errors in the initial code skeleton or dealing with things like the xpath, which I didn&#39;t feel like was well-explained in either the homework page, in class, or on Piazza. </p>
<p></p>
<p>I think also that I&#39;m frustrated in general because I&#39;m also OCR-ing at the current moment as well as taking four other courses, each with a substantial time investment. I&#39;ve taken other project courses such as CIS 350 and I think that the scope of the weekly homework assignments so far have much more time consuming than the semester-long projects in that and other classes, which doesn&#39;t make sense to me given that the description for NETS 213 says that students of any major who have taken CIS 120 can take this class, and I definitely don&#39;t think that&#39;s true.</p>
<p></p>
<p>I&#39;m sorry if this makes me sound petulant; it&#39;s very late right now and I am still waiting for our program to extract all the text from the articles, and my partner and I started on Sunday, since I couldn&#39;t start earlier due to being off campus for OCR. I understand we have late days, but I also feel that even given my comp sci background, this homework was far more substantial than could have been completed in a week for people with little to no Python experience, and taking other classes as well. </p>"
When will homework 9 become available?,"<p>When will it be due?</p>
<p></p>
<p>(also, I notice there is a hw10 folder - will there be a homework 10?)</p>"
Mistake in articles file,"<p>Line 65995 - &#34;Due to known vulnerability issue in Firefox 3.0.10 and Firefox 3.6 we are not able to support this version of Firefox, please update or download a newer version.&#34; is marked as a gun article.</p>
<p></p>
<p>Won&#39;t this error affect our accuracy percentage?</p>"
Readings,"<p>On the lecture page, there are readings listed alongside each lecture. Should those readings be completed before the associated lecture or after?</p>"
Installing numpy module for Windows 10 - Python 3.5,"<p>I have been having trouble installing numpy for python 3.5. I keep getting an error:</p>
<p></p>
<p>error: Unable to find vcvarsall.bat</p>
<p></p>
<p>I&#39;ve been looking around the internet for answers, but had no luck. What should I do?</p>"
guest lecture in NETS 213 tomorrow,"For tomorrow&#39;s lecture, I have invited Professor Doug Weibe of the School of Medicine to give a talk about studying gun violence from a public health perspective. The goal is to contextualize why we are focused on gun violence in our homework assignments.  Doug is an epidemiologist whose research will hopefully be facilitated by the data that we are collecting via crowdsourcing. <div><br /></div><div>Here is more about Doug:<div>http://www.upennprc.org/people/douglas-wiebe/</div></div><div><br /></div><div>Please attend tomorrow&#39;s lecture. It will count towards your participation grade. </div>"
Submission,"<p>Hello,</p>
<p></p>
<p>Last time I submitted on enaic my files did not successfully submit. Is there a way I can confirm that it worked this time?  </p>"
Going from list_of_urls.txt to urls.txt,"<p>In my list_of_urls.txt, I use the wc -l command and see that I have 3154 urls total that I collected. I then run get_clean_text.py, and then separate my articles_and_urls.txt into unlabelled_articles and urls.txt. When I run wc-l on urls.txt, I only have 647 urls. Is this because the other urls bounced or didn&#39;t return any text? Why did the number decrease so much? Is this alright for the sake of the project?</p>"
Python Bootcamp on Friday,"<p>The homework page states: &#34;This assignment will be completed in-class on Friday, January 29, 2016.&#34; Does that mean that we are going over the entire homework assignment in class, or should we still have it submitted before class?</p>"
Bing error: Bad request,"<p>Any help on what this error means? Weird that it&#39;s coming on a later iteration. This is my second set of bing queries, the first one worked fine.<img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hkwvkcmmpdngk/ikj4tub4due/Screen_Shot_20160211_at_10.24.59_PM.png"" /></p>"
Can&#39;t log into Crowdflower as Customer,"<p>I&#39;m having this issue where I can&#39;t even log into crowdflower as a contributor. I&#39;ve set up a job before and received results, but I&#39;m unable to do so now. I&#39;m getting this error:  &#34;You signed up for a Contributor account and are attempting to access the Customer platform.&#34;</p>"
Intro Lecture,"<p>I have posted the slides from today&#39;s lecture here: <a href=""http://crowdsourcing-class.org/slides/class-intro.pdf"">Intro Lecture</a>  </p>
<p>The <a href=""http://crowdsourcing-class.org/lectures.html"">Lectures</a> page on the <a href=""http://crowdsourcing-class.org/"" target=""_blank"">course web site</a> also contains a list of recommended readings for each lecture.  </p>
<p></p>
<p>If you have any questions or comments about the lecture, please post them here.  </p>"
Hit &#34;row limit&#34; on crowd flower account,<p>It says we have a 1000-row limit that I have hit. What should I do to extend this other than switch to another account? </p>
classifier,<p>Is there a baseline classifier that we can use if ours from last week wasn&#39;t working?</p>
Unable to turnin Homework 4,"When using the $ scp assignment4 pennkey&#64;eniac.seas.upenn.edu command, I am unable to copy over the directory to my account. Not sure what else to do."
Turning in,"<p>Hi! I&#39;m trying to turn in the homework, but it says that classifier is not a current project for submission. I&#39;m using the below code to try and turn it in by sshing into eniac:</p>
<p></p>
<p>turnin -c nets213 -p classifier -v assignment4</p>
<p></p>
<p>Is this correct?</p>"
Summary of Papers,<p>Should the &#34;detailed description of one paper’s experimental design and results&#34; come from one of the three papers that we also summarized?</p>
Coloring Blue and Yello,How do you color the city/people names within the text?
Are we only changing the function rule_based_classifier in part 4?,<p>Just trying to make sure! A little bit confused with all of the &#34;TODO&#34;s and when to fill them in. They seem redundant - seems like we have to add the same strings to a bunch of different lists. Is this the case? Thanks!</p>
EM iterations,"<p>In the manual EM iterations part of the hw, do we count the initialization phase as an iteration? </p>
<p></p>"
Less than 500,"<p>Hi,</p>
<p></p>
<p>We ended up with 489 positive prediction from our classifier. Should we redo the crawling part where we search for more websites, or is this close enough to be ok? Thanks in advance!</p>"
Crowd sourcing and March Madness,"<p>I&#39;m wondering if the principle of wisdom of the crowds can play into picking teams in the  march madness bracket. More so, since the teams are only playing one game, there are obviously a lot of upsets that can and do occur, and many times those seem to not be well predicted. So my main question is can wisdom of the crowds effectively apply to picking teams in a March Madness bracket?</p>"
Could not load decision tree image from draw.io,<p>I keep getting an error message when I save my draw.io file as a .png on Linux VM and try to open the file with any sort of image viewer. Any idea what might be going on?</p>
Markdown images,"<p>Is there a preferred way of doing inline images with Markdown for our reports? Right now we&#39;re considering either linking to an image hosted online or just in the local directory, although we aren&#39;t too sure how to check and verify the formatting is correct when it&#39;s viewed.</p>"
Replicating results,"<p>How closely do our results need to match the results of the research paper we implement? For the Financial Incentives and the Performance of Crowds paper, our team found that our &#34;no pay&#34; bracket did not actually perform better than the paid-per-performance bracket. We think, however, it is explained by the fact that our baseline pay for workers was SIGNIFICANTLY less that the baseline pay in the study ($0.05 vs. ~$2.88), which in turn led to less intrinsic motivation. <strong>If we can justify our results, despite them not aligning with the results of the paper, will that suffice to receive full credit?</strong></p>"
IDs,"<p>What is the difference between unit id, id, external id, etc. on Crowdflower?</p>"
